time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode,ClgPct_outlier,HtgPct_outlier,OutAirTemp_outlier,RmTemp_outlier,SuplFanSpd_outlier
2025-01-27 21:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.1,1.0,1.0,0.0,24.0,52.96666667,70.0,67.23333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 21:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.56666667,1.0,1.0,0.0,23.0,53.06666667,70.0,68.06666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 21:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.03333333,1.0,1.0,0.0,23.0,53.9,70.0,68.7,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 22:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.2,1.0,1.0,0.0,23.0,51.86666667,70.0,67.46666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 22:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.43333333,1.0,1.0,0.0,24.0,48.93333333,70.0,68.0,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 22:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,25.0,48.16666667,70.0,68.56666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 22:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.93333333,1.0,1.0,0.0,25.0,46.3,70.0,67.33333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 23:00:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.56666667,1.0,1.0,0.0,25.0,45.76666667,70.0,68.76666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 23:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.83333333,1.0,1.0,0.0,25.0,45.7,70.0,67.73333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 23:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.03333333,1.0,1.0,0.0,25.33333333,45.2,70.0,67.93333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-27 23:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.13333333,1.0,1.0,0.0,25.0,45.53333333,70.0,68.33333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 00:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.7,1.0,1.0,0.0,25.66666667,44.5,70.0,67.43333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 00:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.43333333,1.0,1.0,0.0,27.0,45.33333333,70.0,69.03333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 00:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.46666667,1.0,1.0,0.0,27.0,44.7,70.0,67.26666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 00:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.56666667,1.0,1.0,0.0,27.0,44.56666667,70.0,69.23333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 01:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.53333333,1.0,1.0,0.0,27.0,44.6,70.0,67.3,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 01:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.63333333,1.0,1.0,0.0,28.0,44.43333333,70.0,69.26666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 01:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.6,1.0,1.0,0.0,28.0,44.6,70.0,67.43333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 01:45:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.33333333,1.0,1.0,0.0,28.0,43.6,70.0,68.8,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 02:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.66666667,1.0,1.0,0.0,28.66666667,44.16666667,70.0,67.53333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 02:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.16666667,1.0,1.0,0.0,29.0,43.36666667,70.0,68.3,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 02:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.66666667,1.0,1.0,0.0,29.0,43.86666667,70.0,67.53333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 02:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.66666667,1.0,1.0,0.0,29.0,44.06666667,70.0,69.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 03:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.6,1.0,1.0,0.0,29.0,44.13333333,70.0,67.36666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 03:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.53333333,1.0,1.0,0.0,29.0,44.0,70.0,68.86666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 03:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.86666667,1.0,1.0,0.0,29.0,44.2,70.0,67.73333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 03:45:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.9,1.0,1.0,0.0,29.0,43.56666667,70.0,67.96666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
