,AirFlow,AirFlow,DmprPos,DmprPos,total_outliers
,mean,median,mean,std,sum
season,,,,,
Spring,524.1963277915545,587.6366666666667,59.73190029964154,30.113089619607,62844
Winter,501.6484923410625,567.86,60.63490867740088,30.782381978887347,106672
